title,rt_audience_score,rt_freshness,rt_score,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,worldwide_gross,year
The Silence of the Lambs,4.1,94,8.5,Thriller,Thriller,,,8.6,118,5,R,14-Feb-91,Orion Pictures,"$272,742,922.00 ",1991
Back to the Future Part III,3.4,73,6.5,"Romance
Comedy
Adventure",Romance,Comedy,Adventure,7.4,118,6,PG,25-May-90,Universal Pictures,"$244,527,583.00 ",1990
Dances with Wolves,3.6,82,7.5,"Western
Drama
Adventure",Western,Drama,Adventure,8,181,4,PG-13,21-Nov-90,Orion Pictures,"$424,208,848.00 ",1990
Die Hard 2,3.5,69,6.1,"Thriller
Action",Thriller,Action,,7.1,124,7,R,4-Jul-90,20th Century Fox / Silver Pictures,"$240,031,094.00 ",1990
Ghost,3.5,74,6.8,"Romance
Fantasy
Drama",Romance,Fantasy,Drama,7,127,1,PG-13,13-Jul-90,Paramount Pictures,"$505,702,588.00 ",1990
Home Alone,3.3,54,5.1,"Family
Comedy",Family,Comedy,,7.4,103,2,PG,16-Nov-90,20th Century Fox,"$476,684,675.00 ",1990
Kindergarten Cop,3,51,5.1,"Crime
Comedy
Action",Crime,Comedy,Action,6,111,10,PG-13,21-Dec-90,Universal Pictures,"$201,957,688.00 ",1990
Presumed Innocent,3.4,85,7.4,"Mystery
Drama
Crime",Mystery,Drama,Crime,6.9,127,8,R,27-Jul-90,Warner Bros.,"$221,303,188.00 ",1990
Pretty Woman,3.5,62,5.7,"Romance
Comedy",Romance,Comedy,,6.9,119,3,R,23-Mar-90,Touchstone Pictures,"$463,406,268.00 ",1990
Teenage Mutant Ninja Turtles,3.3,41,4.8,"Comedy
Adventure
Action",Comedy,Adventure,Action,6.7,93,9,PG,30-Mar-90,New Line Cinema,"$201,965,915.00 ",1990
Total Recall,3.3,84,7.3,"Action
Sci-Fi
Mystery",Action,Sci-Fi,Mystery,7.5,113,5,R,1-Jun-90,TriStar Pictures / Carolco Pictures,"$261,336,002.00 ",1990
Back to the Future Part II,3.5,64,6.1,"Sci-Fi
Comedy
Adventure",Sci-Fi,Comedy,Adventure,7.8,108,3,PG,22-Nov-89,Universal Pictures,"$331,950,002.00 ",1989
Batman,3.5,72,6.6,"Adventure
Action",Adventure,Action,,7.6,126,2,PG-13,23-Jun-89,Warner Bros. / PolyGram,"$411,348,924.00 ",1989
Born on the Fourth of July,3.4,90,7.4,"War
Drama
Biography",War,Drama,Biography,7.2,145,10,R,5-Jan-90,Universal Pictures,"$161,001,698.00 ",1989
Dead Poets Society,3.8,85,7.2,Drama,Drama,,,8,128,5,PG,9-Jun-89,Touchstone Pictures,"$235,860,116.00 ",1989
Ghostbusters II,3.2,51,5.2,"Horror
Fantasy
Comedy",Horror,Fantasy,Comedy,6.5,108,8,PG,16-Jun-89,Columbia Pictures,"$215,394,738.00 ",1989
"Honey, I Shrunk the Kids",2.9,75,6.2,"Family
Comedy
Adventure",Family,Comedy,Adventure,6.2,93,7,PG,23-Jun-89,Walt Disney Pictures,"$222,724,172.00 ",1989
Indiana Jones and the Last Crusade,4,88,7.9,"Adventure
Action",Adventure,Action,,8.3,127,1,PG-13,24-May-89,Paramount Pictures / Lucasfilm,"$474,171,806.00 ",1989
Lethal Weapon 2,3.3,83,6.6,"Thriller
Crime
Action",Thriller,Crime,Action,7.2,114,6,R,7-Jul-89,Warner Bros.,"$227,853,986.00 ",1989
